job_title,company_name,job_type
2D Illustrator - Alexandria,Arabic Localizer,Full time
Senior Illustrator,Confidential -,Full time
Illustrator,Longman Egypt,Full time
Illustrator,El-Moasser Books,Full time
Illustrator,Innovito,Full time
Graphic Designer,Solutions,Full time
Senior Graphic Designer,Confidential -,Full time
UI UX Designer,Brmaja,Full time
Graphic Designer,DASH printing solutions,Full time
Graphic Designer,Smart Zone,Full time
Graphic Designer,Chloride,Full time
Senior Graphic designer,Digitised,Full time
UI/UX Designer,OrderGO LTD,Full time
Graphic Designer / Social Media Specialist,Confidential -,Full time
UI/UX Designer - Alexandria,Caduceus Lane,Full time
